Aantal trades,Winrate (%),Gem. resultaat (R),Totaal resultaat (R),Max drawdown (R),Gem. trade-duur (dagen),Nog open aan einde data,Aantal wins,Aantal losses,Pair
26,65.4,0.308,8.0,2.0,15.7,0,17,9,EURSEK
23,56.5,0.13,3.0,3.0,15.1,0,13,10,SGDJPY
26,53.8,0.077,2.0,6.0,11.4,0,14,12,AUDNZD
13,53.8,0.077,1.0,3.0,15.8,0,7,6,AUDCAD
19,52.6,0.053,1.0,3.0,14.6,0,10,9,USDHUF
25,52.0,0.04,1.0,5.0,14.8,0,13,12,TRYJPY
19,52.6,0.053,1.0,4.0,14.9,0,10,9,EURNOK
22,50.0,0.0,0.0,3.0,11.3,0,11,11,MXNJPY
18,50.0,0.0,0.0,3.0,20.0,0,9,9,USDSEK
21,47.6,-0.048,-1.0,6.0,16.2,0,10,11,EURCAD
15,46.7,-0.067,-1.0,4.0,16.7,0,7,8,EURJPY
14,42.9,-0.143,-2.0,5.0,14.9,0,6,8,AUDUSD
18,44.4,-0.111,-2.0,7.0,11.4,0,8,10,NZDCAD
13,38.5,-0.231,-3.0,3.0,14.3,0,5,8,USDCAD
25,44.0,-0.12,-3.0,6.0,12.0,0,11,14,CHFJPY
21,42.9,-0.143,-3.0,8.0,10.0,0,9,12,GBPCAD
19,42.1,-0.158,-3.0,6.0,16.1,0,8,11,EURCHF
14,35.7,-0.286,-4.0,4.0,15.9,0,5,9,USDNOK
14,35.7,-0.286,-4.0,5.0,12.2,0,5,9,EURAUD
24,41.7,-0.167,-4.0,9.0,17.2,1,10,14,GBPCHF
20,40.0,-0.2,-4.0,8.0,19.2,1,8,12,NZDCHF
14,35.7,-0.286,-4.0,5.0,14.4,1,5,9,USDPLN
23,39.1,-0.217,-5.0,5.0,11.3,0,9,14,AUDJPY
11,27.3,-0.455,-5.0,5.0,14.3,0,3,8,ZARJPY
25,40.0,-0.2,-5.0,9.0,10.6,0,10,15,EURUSD
15,33.3,-0.333,-5.0,6.0,13.0,0,5,10,EURGBP
19,36.8,-0.263,-5.0,8.0,17.1,0,7,12,PLNJPY
13,30.8,-0.385,-5.0,5.0,14.8,0,4,9,GBPJPY
15,33.3,-0.333,-5.0,7.0,17.1,0,5,10,CADJPY
20,35.0,-0.3,-6.0,8.0,17.9,0,7,13,GBPAUD
14,28.6,-0.429,-6.0,7.0,27.4,0,4,10,AUDCHF
26,38.5,-0.231,-6.0,7.0,11.5,0,10,16,USDJPY
20,35.0,-0.3,-6.0,7.0,8.1,0,7,13,USDILS
22,36.4,-0.273,-6.0,10.0,22.4,0,8,14,CADCHF
27,37.0,-0.259,-7.0,7.0,12.9,0,10,17,HKDJPY
13,23.1,-0.538,-7.0,8.0,16.0,0,3,10,USDZAR
16,25.0,-0.5,-8.0,8.0,9.1,0,4,12,USDMXN
14,21.4,-0.571,-8.0,8.0,17.1,0,3,11,NZDJPY
24,33.3,-0.333,-8.0,8.0,8.5,0,8,16,USDCHF
20,30.0,-0.4,-8.0,10.0,11.1,0,6,14,GBPNZD
17,23.5,-0.529,-9.0,10.0,17.8,0,4,13,EURNZD
24,29.2,-0.417,-10.0,12.0,10.8,0,7,17,GBPUSD
42,38.1,-0.238,-10.0,15.0,11.0,0,16,26,USDTRY
17,17.6,-0.647,-11.0,11.0,18.0,0,3,14,NZDUSD
