pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,rsi_divergence,adx_strong,exit_date,exit_price,outcome,bars_held
EURUSD,SHORT,2025-11-11,1.1557220220565796,1.1688578833623753,1.136018230097886,1111,False,False,2025-12-11,1.1688578833623753,LOSS,22.0
EURUSD,SHORT,2026-01-20,1.1639139652252197,1.1755278421064177,1.1464931499034228,1159,True,False,2026-01-23,1.1755278421064177,LOSS,3.0
EURUSD,SHORT,2026-02-26,1.181516408920288,1.1953977756408611,1.1606943588394285,1186,False,False,2026-03-03,1.1606943588394285,WIN,3.0
EURUSD,SHORT,2026-03-23,1.1560158729553223,1.1755482306304723,1.126717336442597,1203,False,True,2026-04-14,1.1755482306304723,LOSS,16.0
EURUSD,SHORT,2026-05-29,1.1652837991714478,1.1776139356522943,1.146788594450178,1252,False,False,2026-06-18,1.146788594450178,WIN,14.0
EURUSD,SHORT,2026-07-10,1.1433405876159668,1.1554923983869836,1.1251128714594416,1282,False,True,2026-08-03,1.1554923983869836,LOSS,16.0
GBPUSD,SHORT,2022-07-22,1.1996161937713623,1.2278116798705743,1.1573229646225442,252,False,True,2022-08-01,1.2278116798705743,LOSS,6.0
GBPUSD,SHORT,2022-08-18,1.2045146226882935,1.2312369871690987,1.1644310759670855,271,False,False,2022-08-30,1.1644310759670855,WIN,8.0
GBPUSD,LONG,2023-02-02,1.2390038967132568,1.2147956426678108,1.275316277781426,391,False,False,2023-02-03,1.2147956426678108,LOSS,1.0
GBPUSD,LONG,2023-03-15,1.215214490890503,1.184811599531608,1.2608188279288455,420,False,False,2023-05-05,1.2608188279288455,WIN,37.0
GBPUSD,LONG,2023-07-21,1.2872332334518433,1.2632921942640907,1.3231447922334723,512,False,True,2023-08-03,1.2632921942640907,LOSS,9.0
GBPUSD,SHORT,2023-08-30,1.2636793851852417,1.2839302426385457,1.2333030990052856,540,False,False,2023-09-21,1.2333030990052856,WIN,16.0
