pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,ema_aligned,volume_confirmed,volume_used,breakout_strength_atr,exit_date,exit_price,outcome,bars_held,strategy,asset_class,rsi_divergence,entry_type,mbl_position_ok,price_above_ema200,golden_cross_state
LINK-USD,LONG,2021-10-23,31.459808349609375,27.456874799820323,39.46567544918748,66,True,False,True,0.73,2021-11-18,27.456874799820323,LOSS,26,donchian,crypto,,,,,
DOGE-USD,LONG,2021-10-24,0.2770479917526245,0.24054696882654197,0.3500500376047896,67,True,True,True,0.303,2021-10-27,0.24054696882654197,LOSS,3,donchian,crypto,,,,,
EGLD-USD,LONG,2021-10-24,283.7901611328125,243.7382838563235,363.8939156857905,67,True,False,True,0.201,2021-10-27,243.7382838563235,LOSS,3,donchian,crypto,,,,,
SHIB-USD,LONG,2021-10-24,3.600000127335079e-05,2.815011879709548e-05,5.169976622586141e-05,67,True,True,True,0.255,2021-10-27,5.169976622586141e-05,WIN,3,donchian,crypto,,,,,
AVAX-USD,LONG,2021-10-25,69.82469177246094,59.0206811478791,91.43271302162461,68,True,False,True,0.134,2021-10-27,59.0206811478791,LOSS,2,donchian,crypto,,,,,
CRO-USD,LONG,2021-10-25,0.20095400512218475,0.18221232693393977,0.23843736149867473,68,True,False,True,0.229,2021-11-02,0.23843736149867473,WIN,8,donchian,crypto,,,,,
ZIL-USD,LONG,2021-10-25,0.11079400032758713,0.09570621848431068,0.14096956401414001,68,True,True,True,0.432,2021-10-27,0.09570621848431068,LOSS,2,donchian,crypto,,,,,
ATOM-USD,LONG,2021-10-26,43.216392517089844,36.28731925947625,57.074539032317034,69,True,True,True,1.517,2021-10-27,36.28731925947625,LOSS,1,donchian,crypto,,,,,
BAND-USD,LONG,2021-10-26,9.581491470336914,8.263989526647512,12.216495357715718,69,True,True,True,0.48,2021-10-28,8.263989526647512,LOSS,2,donchian,crypto,,,,,
JASMY-USD,LONG,2021-10-26,0.11253000050783157,0.08569008362132352,0.16620983428084768,69,True,True,True,1.379,2021-11-01,0.16620983428084768,WIN,6,donchian,crypto,,,,,
THETA-USD,LONG,2021-10-26,7.016445159912109,6.01148212588765,9.026371227961029,69,True,False,True,0.034,2021-10-27,6.01148212588765,LOSS,1,donchian,crypto,,,,,
