pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,rsi_divergence,adx_strong,exit_date,exit_price,outcome,bars_held
CADJPY,SHORT,2026-03-30,115.25800323486328,117.00652922022665,111.76095126413654,1208,False,False,2026-04-27,117.00652922022665,LOSS,20.0
CADJPY,SHORT,2026-05-07,114.75900268554688,116.87231677098565,110.53237451466933,1236,False,True,,,OPEN,
CHFJPY,LONG,2025-12-01,194.0799102783203,191.271735927426,199.69625898010895,1125,False,True,2026-01-20,199.69625898010895,WIN,34.0
CHFJPY,LONG,2026-01-26,199.4347686767578,196.0284250825521,206.24745586516923,1163,False,False,2026-07-31,196.0284250825521,LOSS,134.0
NZDJPY,SHORT,2024-12-25,88.66899871826172,90.78131525353353,84.44436564771809,885,False,True,2025-02-28,84.44436564771809,WIN,46.0
NZDJPY,SHORT,2025-11-11,86.9729995727539,88.79490301932266,83.3291926796164,1111,True,False,2025-11-20,88.79490301932266,LOSS,7.0
NZDJPY,LONG,2025-12-18,89.71399688720703,88.15753217813395,92.8269263053532,1138,False,False,2026-01-22,92.8269263053532,WIN,23.0
NZDJPY,LONG,2026-03-03,93.5250015258789,91.51811377893215,97.53877701977243,1189,False,False,2026-03-30,91.51811377893215,LOSS,19.0
NZDJPY,SHORT,2026-05-08,93.11000061035156,94.911401430085,89.5071989708847,1237,True,False,2026-05-29,94.911401430085,LOSS,15.0
NZDJPY,SHORT,2026-06-16,93.33000183105469,94.91089638689067,90.16821271938272,1264,False,False,2026-07-16,94.91089638689067,LOSS,22.0
AUDCAD,LONG,2024-02-27,0.8829699754714966,0.8726322737143037,0.9036453789858823,669,True,False,2024-05-03,0.9036453789858823,WIN,48.0
AUDCAD,LONG,2024-06-19,0.913707971572876,0.9020435542705457,0.9370368061775365,750,False,True,2024-07-25,0.9020435542705457,LOSS,26.0
AUDCAD,LONG,2025-11-14,0.9161999821662903,0.9056149379507663,0.9373700705973382,1114,False,False,2026-01-22,0.9373700705973382,WIN,47.0
AUDCAD,LONG,2026-03-04,0.9626200199127197,0.9461300303732848,0.9955999989915896,1190,False,True,2026-03-09,0.9461300303732848,LOSS,3.0
AUDCAD,LONG,2026-03-13,0.964460015296936,0.9442035743412037,1.0049728972084007,1197,False,False,,,OPEN,
AUDCHF,SHORT,2022-11-28,0.6357449889183044,0.6502437798768896,0.606747407001134,343,False,False,2023-01-24,0.6502437798768896,LOSS,41.0
AUDCHF,SHORT,2024-08-27,0.5735139846801758,0.5877283777030882,0.545085198634351,799,False,True,2024-12-25,0.545085198634351,WIN,86.0
AUDCHF,LONG,2025-11-10,0.5247200131416321,0.5146023043253494,0.5449554307741975,1110,False,False,2025-11-14,0.5146023043253494,LOSS,4.0
AUDCHF,LONG,2025-11-26,0.5227400064468384,0.5121739201522041,0.543872179036107,1122,False,False,2026-02-03,0.543872179036107,WIN,47.0
AUDCHF,LONG,2026-02-06,0.5378299951553345,0.525468219425935,0.5625535466141334,1172,False,False,2026-04-27,0.5625535466141334,WIN,56.0
AUDCHF,LONG,2026-06-02,0.563289999961853,0.5561540174193851,0.5775619650467889,1254,False,False,2026-06-29,0.5561540174193851,LOSS,19.0
AUDNZD,LONG,2023-04-27,1.0798100233078003,1.0642088549781743,1.1110123599670523,451,False,False,2023-05-04,1.0642088549781743,LOSS,5.0
AUDNZD,LONG,2024-04-22,1.0890439748764038,1.0798694362916792,1.107393052045853,708,False,False,2024-05-23,1.0798694362916792,LOSS,23.0
AUDNZD,SHORT,2025-02-06,1.1046110391616821,1.1136061335693348,1.0866208503463768,915,False,False,2025-02-12,1.1136061335693348,LOSS,4.0
AUDNZD,LONG,2025-11-19,1.1500500440597534,1.137221030274221,1.1757080716308184,1117,False,True,2026-02-11,1.1757080716308184,WIN,58.0
AUDNZD,LONG,2026-03-25,1.1984599828720093,1.1829111651661426,1.2295576182837427,1205,False,True,,,OPEN,
NZDCAD,SHORT,2022-06-24,0.8161799907684326,0.8321448297503418,0.7842503128046143,232,False,False,2022-09-20,0.7842503128046143,WIN,62.0
NZDCAD,LONG,2022-10-24,0.7863500118255615,0.7678818939094293,0.823286247657826,318,True,False,2022-11-18,0.823286247657826,WIN,19.0
NZDCAD,LONG,2022-12-22,0.8560580015182495,0.835425986895491,0.8973220307637666,361,False,True,2023-02-27,0.835425986895491,LOSS,47.0
NZDCAD,LONG,2023-03-16,0.8484370112419128,0.8329036287525935,0.8795037762205515,421,False,False,2023-04-12,0.8329036287525935,LOSS,19.0
NZDCAD,SHORT,2023-04-25,0.835099995136261,0.850574506559924,0.8041509722889351,449,False,False,2023-05-03,0.850574506559924,LOSS,6.0
NZDCAD,SHORT,2023-05-19,0.841526985168457,0.8573930558894344,0.8097948437265023,467,True,False,2023-06-07,0.8097948437265023,WIN,13.0
NZDCAD,SHORT,2023-06-14,0.8199099898338318,0.8361199747303272,0.787490020040841,485,False,True,2023-07-13,0.8361199747303272,LOSS,21.0
NZDCAD,SHORT,2023-07-27,0.820222020149231,0.8379421431821392,0.7847817740834144,516,False,False,2023-11-29,0.8379421431821392,LOSS,89.0
NZDCAD,LONG,2023-12-13,0.8336499929428101,0.8198875048251737,0.8611749691780828,615,False,True,2023-12-25,0.8198875048251737,LOSS,8.0
NZDCAD,LONG,2023-12-26,0.8353000283241272,0.8161303546250072,0.8736393757223673,624,False,True,2024-02-02,0.8161303546250072,LOSS,28.0
NZDCAD,LONG,2024-03-14,0.8300700187683105,0.820017861969664,0.8501743323656037,681,False,False,2024-03-19,0.820017861969664,LOSS,3.0
NZDCAD,SHORT,2024-04-08,0.8167440295219421,0.8263199313446813,0.7975922258764638,698,False,True,2024-05-15,0.8263199313446813,LOSS,27.0
NZDCAD,LONG,2024-06-17,0.8428549766540527,0.8313941743556477,0.8657765812508629,748,False,True,2024-06-28,0.8313941743556477,LOSS,9.0
NZDCAD,SHORT,2024-12-18,0.8238300085067749,0.8360648983957114,0.7993602287289019,880,False,False,2024-12-25,0.7993602287289019,WIN,5.0
NZDCAD,SHORT,2025-01-20,0.8085899949073792,0.8211546065952177,0.7834607715317021,902,False,True,2025-03-05,0.8211546065952177,LOSS,32.0
NZDCAD,SHORT,2025-03-27,0.8173199892044067,0.8306362066603642,0.7906875542924918,950,False,False,2025-04-07,0.7906875542924918,WIN,7.0
