Aantal trades,Winrate (%),Gem. resultaat (R),Totaal resultaat (R),Max drawdown (R),Gem. trade-duur (dagen),Nog open aan einde data,Aantal wins,Aantal losses,Pair
6,83.3,1.083,6.5,1.0,17.2,0,5.0,1.0,EURJPY
8,62.5,0.562,4.5,2.0,21.8,0,5.0,3.0,AUDJPY
6,66.7,0.667,4.0,1.0,31.8,1,4.0,2.0,EURSEK
4,75.0,0.875,3.5,1.0,25.8,0,3.0,1.0,EURCHF
7,57.1,0.429,3.0,1.0,35.6,0,4.0,3.0,AUDCHF
17,47.1,0.176,3.0,4.5,33.2,0,8.0,9.0,NZDCHF
5,60.0,0.5,2.5,1.0,19.8,1,3.0,2.0,GBPAUD
5,60.0,0.5,2.5,1.0,27.6,1,3.0,2.0,AUDCAD
3,66.7,0.667,2.0,1.0,53.7,0,2.0,1.0,CHFJPY
6,50.0,0.25,1.5,2.0,30.7,0,3.0,3.0,GBPCHF
6,50.0,0.25,1.5,2.0,20.5,1,3.0,3.0,EURGBP
16,43.8,0.094,1.5,6.5,20.6,0,7.0,9.0,TRYJPY
16,43.8,0.094,1.5,5.0,23.1,0,7.0,9.0,MXNJPY
19,42.1,0.053,1.0,4.5,17.3,1,8.0,11.0,GBPNZD
17,41.2,0.029,0.5,3.5,14.2,0,7.0,10.0,HKDJPY
2,50.0,0.25,0.5,1.0,54.5,0,1.0,1.0,GBPJPY
5,40.0,0.0,0.0,2.0,17.6,0,2.0,3.0,SGDJPY
5,40.0,0.0,0.0,2.0,29.0,0,2.0,3.0,CADJPY
0,0.0,0.0,0.0,0.0,0.0,0,,,USDTRY
5,40.0,0.0,0.0,2.0,17.0,0,2.0,3.0,USDILS
5,40.0,0.0,0.0,2.0,25.4,1,2.0,3.0,EURCAD
18,38.9,-0.028,-0.5,5.0,27.6,1,7.0,11.0,ZARJPY
8,37.5,-0.062,-0.5,4.0,7.4,1,3.0,5.0,USDCHF
6,33.3,-0.167,-1.0,3.0,10.0,1,2.0,4.0,GBPCAD
6,33.3,-0.167,-1.0,2.0,12.3,0,2.0,4.0,EURUSD
1,0.0,-1.0,-1.0,1.0,38.0,0,0.0,1.0,USDJPY
6,33.3,-0.167,-1.0,3.0,19.2,0,2.0,4.0,NZDJPY
4,25.0,-0.375,-1.5,2.0,13.5,1,1.0,3.0,USDZAR
7,28.6,-0.286,-2.0,2.5,23.9,0,2.0,5.0,NZDUSD
2,0.0,-1.0,-2.0,2.0,11.0,1,0.0,2.0,USDMXN
7,28.6,-0.286,-2.0,3.0,19.0,1,2.0,5.0,AUDNZD
7,28.6,-0.286,-2.0,3.0,14.0,1,2.0,5.0,EURAUD
7,28.6,-0.286,-2.0,3.0,20.1,0,2.0,5.0,EURNZD
5,20.0,-0.5,-2.5,4.0,14.8,0,1.0,4.0,USDPLN
5,20.0,-0.5,-2.5,4.0,11.2,0,1.0,4.0,EURNOK
5,20.0,-0.5,-2.5,4.0,23.4,1,1.0,4.0,USDSEK
3,0.0,-1.0,-3.0,3.0,14.3,0,0.0,3.0,USDCAD
8,25.0,-0.375,-3.0,3.0,26.0,0,2.0,6.0,AUDUSD
23,34.8,-0.13,-3.0,6.0,14.9,0,8.0,15.0,GBPUSD
3,0.0,-1.0,-3.0,3.0,25.7,1,0.0,3.0,USDHUF
6,16.7,-0.583,-3.5,5.0,13.3,0,1.0,5.0,CADCHF
19,31.6,-0.211,-4.0,8.0,28.3,0,6.0,13.0,PLNJPY
24,29.2,-0.271,-6.5,9.0,22.7,1,7.0,17.0,NZDCAD
8,0.0,-1.0,-8.0,8.0,13.2,0,0.0,8.0,USDNOK
