Aantal trades,Winrate (%),Gem. resultaat (R),Totaal resultaat (R),Max drawdown (R),Gem. trade-duur (dagen),Nog open aan einde data,Aantal wins,Aantal losses,Pair
5,100.0,1.0,5.0,0.0,15.8,0,5.0,0.0,EURCHF
9,77.8,0.556,5.0,1.0,20.2,0,7.0,2.0,AUDCHF
7,85.7,0.714,5.0,1.0,10.7,0,6.0,1.0,CHFJPY
6,83.3,0.667,4.0,1.0,16.3,0,5.0,1.0,EURJPY
8,75.0,0.5,4.0,1.0,9.9,1,6.0,2.0,EURSEK
6,83.3,0.667,4.0,1.0,15.5,1,5.0,1.0,AUDCAD
9,66.7,0.333,3.0,2.0,16.7,0,6.0,3.0,AUDJPY
6,66.7,0.333,2.0,1.0,20.0,0,4.0,2.0,CADJPY
24,54.2,0.083,2.0,5.0,16.8,0,13.0,11.0,ZARJPY
22,54.5,0.091,2.0,3.0,9.0,0,12.0,10.0,HKDJPY
1,100.0,1.0,1.0,0.0,29.0,0,1.0,0.0,USDJPY
23,52.2,0.043,1.0,5.0,19.8,0,12.0,11.0,NZDCHF
19,52.6,0.053,1.0,6.0,15.1,0,10.0,9.0,TRYJPY
7,57.1,0.143,1.0,2.0,13.0,0,4.0,3.0,NZDJPY
5,60.0,0.2,1.0,1.0,18.2,1,3.0,2.0,GBPAUD
9,55.6,0.111,1.0,2.0,10.9,1,5.0,4.0,AUDNZD
0,0.0,0.0,0.0,0.0,0.0,0,,,USDTRY
20,50.0,0.0,0.0,5.0,13.8,0,10.0,10.0,MXNJPY
5,40.0,-0.2,-1.0,2.0,15.4,0,2.0,3.0,SGDJPY
7,42.9,-0.143,-1.0,3.0,15.9,1,3.0,4.0,EURGBP
7,42.9,-0.143,-1.0,2.0,9.7,0,3.0,4.0,EURUSD
7,42.9,-0.143,-1.0,2.0,20.0,0,3.0,4.0,GBPCHF
5,40.0,-0.2,-1.0,2.0,8.2,0,2.0,3.0,USDMXN
7,42.9,-0.143,-1.0,3.0,10.1,0,3.0,4.0,USDILS
9,44.4,-0.111,-1.0,4.0,7.3,1,4.0,5.0,USDCHF
5,40.0,-0.2,-1.0,2.0,24.8,1,2.0,3.0,EURCAD
3,33.3,-0.333,-1.0,1.0,30.3,0,1.0,2.0,GBPJPY
8,37.5,-0.25,-2.0,3.0,15.8,0,3.0,5.0,EURNZD
26,46.2,-0.077,-2.0,7.0,15.4,0,12.0,14.0,PLNJPY
4,25.0,-0.5,-2.0,2.0,11.5,1,1.0,3.0,USDZAR
6,33.3,-0.333,-2.0,4.0,11.3,0,2.0,4.0,USDPLN
6,33.3,-0.333,-2.0,3.0,9.7,1,2.0,4.0,GBPCAD
6,33.3,-0.333,-2.0,4.0,19.0,1,2.0,4.0,USDSEK
3,0.0,-1.0,-3.0,3.0,14.3,0,0.0,3.0,USDCAD
9,33.3,-0.333,-3.0,3.0,9.3,0,3.0,6.0,NZDUSD
7,28.6,-0.429,-3.0,3.0,11.1,1,2.0,5.0,EURAUD
3,0.0,-1.0,-3.0,3.0,25.7,1,0.0,3.0,USDHUF
5,20.0,-0.6,-3.0,4.0,7.6,0,1.0,4.0,EURNOK
7,28.6,-0.429,-3.0,4.0,9.9,0,2.0,5.0,CADCHF
24,41.7,-0.167,-4.0,6.0,11.0,0,10.0,14.0,GBPUSD
11,27.3,-0.455,-5.0,5.0,15.6,0,3.0,8.0,AUDUSD
29,41.4,-0.172,-5.0,8.0,15.7,0,12.0,17.0,NZDCAD
30,40.0,-0.2,-6.0,7.0,14.8,0,12.0,18.0,GBPNZD
8,12.5,-0.75,-6.0,7.0,9.9,0,1.0,7.0,USDNOK
